SUMLEV,REGION,DIVISION,STATE,NAME,ABBR,POPESTIMATE2019,POPEST18PLUS2019,PCNT_POPEST18PLUS
010,0,0,00,United States,US,328239523,255200373,77.7
040,3,6,01,Alabama,AL,4903185,3814879,77.8
040,4,9,02,Alaska,AK,731545,551562,75.4
040,4,8,04,Arizona,AZ,7278717,5638481,77.5
040,3,7,05,Arkansas,AR,3017804,2317649,76.8
040,4,9,06,California,CA,39512223,30617582,77.5
040,4,8,08,Colorado,CO,5758736,4499217,78.1
040,1,1,09,Connecticut,CT,3565287,2837847,79.6
040,3,5,10,Delaware,DE,973764,770192,79.1
040,3,5,11,District of Columbia,DC,705749,577581,81.8
040,3,5,12,Florida,FL,21477737,17247808,80.3
040,3,5,13,Georgia,GA,10617423,8113542,76.4
040,4,9,15,Hawaii,HI,1415872,1116004,78.8
040,4,8,16,Idaho,ID,1787065,1338864,74.9
040,2,3,17,Illinois,IL,12671821,9853946,77.8
040,2,3,18,Indiana,IN,6732219,5164245,76.7
040,2,4,19,Iowa,IA,3155070,2428229,77
040,2,4,20,Kansas,KS,2913314,2213064,76
040,3,6,21,Kentucky,KY,4467673,3464802,77.6
040,3,7,22,Louisiana,LA,4648794,3561164,76.6
040,1,1,23,Maine,ME,1344212,1095370,81.5
040,3,5,24,Maryland,MD,6045680,4710993,77.9
040,1,1,25,Massachusetts,MA,6892503,5539703,80.4
040,2,3,26,Michigan,MI,9986857,7842924,78.5
040,2,4,27,Minnesota,MN,5639632,4336475,76.9
040,3,6,28,Mississippi,MS,2976149,2277566,76.5
040,2,4,29,Missouri,MO,6137428,4766843,77.7
040,4,8,30,Montana,MT,1068778,840190,78.6
040,2,4,31,Nebraska,NE,1934408,1458334,75.4
040,4,8,32,Nevada,NV,3080156,2387517,77.5
040,1,1,33,New Hampshire,NH,1359711,1104458,81.2
040,1,2,34,New Jersey,NJ,8882190,6943612,78.2
040,4,8,35,New Mexico,NM,2096829,1620991,77.3
040,1,2,36,New York,NY,19453561,15425262,79.3
040,3,5,37,North Carolina,NC,10488084,8187369,78.1
040,2,4,38,North Dakota,ND,762062,581891,76.4
040,2,3,39,Ohio,OH,11689100,9111081,77.9
040,3,7,40,Oklahoma,OK,3956971,3004733,75.9
040,4,9,41,Oregon,OR,4217737,3351175,79.5
040,1,2,42,Pennsylvania,PA,12801989,10167376,79.4
040,1,1,44,Rhode Island,RI,1059361,854866,80.7
040,3,5,45,South Carolina,SC,5148714,4037531,78.4
040,2,4,46,South Dakota,SD,884659,667558,75.5
040,3,6,47,Tennessee,TN,6829174,5319123,77.9
040,3,7,48,Texas,TX,28995881,21596071,74.5
040,4,8,49,Utah,UT,3205958,2274774,71
040,1,1,50,Vermont,VT,623989,509984,81.7
040,3,5,51,Virginia,VA,8535519,6674671,78.2
040,4,9,53,Washington,WA,7614893,5951832,78.2
040,3,5,54,West Virginia,WV,1792147,1432580,79.9
040,2,3,55,Wisconsin,WI,5822434,4555837,78.2
040,4,8,56,Wyoming,WY,578759,445025,76.9
040,X,X,72,Puerto Rico Commonwealth,PR,3193694,2620963,82.1
